Date,Seoul
20150617,38
20150618,28
20150619,23
20150620,40
20150621,20
20150622,32
20150623,34
20150624,40
20150625,40
20150626,12
20150627,11
20150628,23
20150629,25
20150630,31
20150701,34
20150702,48
20150703,40
20150704,32
20150705,34
20150706,30
20150707,34
20150708,11
20150709,11
20150710,20
20150711,28
20150712,11
20150713,27
20150714,62
20150715,48
20150716,12
20150717,11
20150718,29
20150719,24
20150720,20
20150721,24
20150722,34
20150723,28
20150724,14
20150725,18
20150726,17
20150727,30
20150728,34
20150729,36
20150730,66
20150731,56
20150801,48
20150802,34
20150803,30
20150804,26
20150805,32
20150806,34
20150807,42
20150808,36
20150809,19
20150810,28
20150811,56
20150812,50
20150813,43
20150814,41
20150815,60
20150816,67
20150817,24
20150818,21
20150819,36
20150820,36
20150821,30
20150822,38
20150823,36
20150824,29
20150825,6
20150826,11
20150827,22
20150828,28
20150829,32
20150830,32
20150831,33
20150901,24
20150902,27
20150903,26
20150904,33
20150905,32
20150906,13
20150907,12
20150908,12
20150909,16
20150910,30
20150911,40
20150912,21
20150913,21
20150914,33
20150915,26
20150916,16
20150917,12
20150918,18
20150919,32
20150920,48
20150921,48
20150922,42
20150923,40
20150924,38
20150925,36
20150926,48
20150927,35
20150928,32
20150929,24
20150930,18
20151001,16
20151002,32
20151003,43
20151004,28
20151005,30
20151006,32
20151007,44
20151008,54
20151009,34
20151010,22
20151011,16
20151012,18
20151013,32
20151014,50
20151015,59
20151016,66
20151017,60
20151018,70
20151019,90
20151020,89
20151021,104
20151022,74
20151023,52
20151024,36
20151025,30
20151026,33
20151027,36
20151028,32
20151029,24
20151030,30
20151031,31
20151101,41
20151102,51
20151103,68
20151104,81
20151105,72
20151106,49
20151107,12
20151108,5
20151109,12
20151110,48
20151111,41
20151112,18
20151113,12
20151114,11
20151115,19
20151116,27
20151117,18
20151118,12
20151119,16
20151120,36
20151121,48
20151122,30
20151123,9
20151124,26
20151125,13
20151126,36
20151127,40
20151128,47
20151129,40
20151130,44
20151201,54
20151202,52
20151203,22
20151204,43
20151205,35
20151206,34
20151207,50
20151208,61
20151209,66
20151210,42
20151211,33
20151212,29
20151213,40
20151214,44
20151215,55
20151216,31
20151217,20
20151218,41
20151219,62
20151220,54
20151221,50
20151222,58
20151223,52
20151224,94
20151225,30
20151226,66
20151227,32
20151228,26
20151229,58
20151230,57
20151231,55
20160101,56
20160102,42
20160103,86
20160104,60
20160105,32
20160106,54
20160107,42
20160108,34
20160109,40
20160110,32
20160111,42
20160112,51
20160113,38
20160114,46
20160115,46
20160116,64
20160117,66
20160118,60
20160119,41
20160120,38
20160121,50
20160122,52
20160123,34
20160124,40
20160125,52
20160126,74
20160127,60
20160128,52
20160129,45
20160130,42
20160131,41
20160201,41
20160202,46
20160203,56
20160204,56
20160205,46
20160206,52
20160207,46
20160208,64
20160209,52
20160210,37
20160211,44
20160212,33
20160213,14
20160214,30
20160215,34
20160216,30
20160217,41
20160218,46
20160219,75
20160220,46
20160221,27
20160222,45
20160223,52
20160224,36
20160225,52
20160226,50
20160227,64
20160228,44
20160229,61
20160301,34
20160302,39
20160303,54
20160304,64
20160305,26
20160306,84
20160307,100
20160308,70
20160309,46
20160310,36
20160311,36
20160312,47
20160313,58
20160314,62
20160315,59
20160316,60
20160317,70
20160318,60
20160319,72
20160320,77
20160321,81
20160322,68
20160323,72
20160324,41
20160325,68
20160326,65
20160327,66
20160328,66
20160329,93
20160330,84
20160331,52
20160401,70
20160402,77
20160403,46
20160404,30
20160405,62
20160406,69
20160407,42
20160408,69
20160409,100
20160410,112
20160411,48
20160412,56
20160413,55
20160414,56
20160415,54
20160416,52
20160417,50
20160418,62
20160419,46
20160420,62
20160421,27
20160422,68
20160423,162
20160424,128
20160425,72
20160426,74
20160427,51
20160428,58
20160429,63
20160430,71
20160501,46
20160502,50
20160503,21
20160504,56
20160505,56
20160506,45
20160507,99
20160508,53
20160509,58
20160510,30
20160511,30
20160512,35
20160513,39
20160514,36
20160515,38
20160516,36
20160517,64
20160518,48
20160519,40
20160520,46
20160521,38
20160522,53
20160523,66
20160524,34
20160525,82
20160526,91
20160527,76
20160528,74
20160529,76
20160530,85
20160531,74
20160601,42
20160602,36
20160603,48
20160604,52
20160605,50
20160606,23
20160607,40
20160608,40
20160609,52
20160610,60
20160611,48
20160612,28
20160613,60
20160614,52
20160615,34
20160616,32
20160617,56
20160618,63
20160619,40
20160620,51
20160621,58
20160622,69
20160623,40
20160624,42
20160625,35
20160626,32
20160627,36
20160628,60
20160629,38
20160630,30
20160701,26
20160702,14
20160703,38
20160704,28
20160705,12
20160706,17
20160707,38
20160708,52
20160709,39
20160710,35
20160711,50
20160712,34
20160713,30
20160714,30
20160715,18
20160716,10
20160717,14
20160718,28
20160719,36
20160720,36
20160721,30
20160722,35
20160723,42
20160724,35
20160725,42
20160726,34
20160727,33
20160728,52
20160729,39
20160730,38
20160731,43
20160801,30
20160802,26
20160803,30
20160804,30
20160805,38
20160806,54
20160807,35
20160808,40
20160809,30
20160810,52
20160811,33
20160812,44
20160813,35
20160814,34
20160815,38
20160816,48
20160817,42
20160818,54
20160819,60
20160820,34
20160821,28
20160822,30
20160823,34
20160824,36
20160825,30
20160826,14
20160827,14
20160828,11
20160829,16
20160830,36
20160831,21
20160901,58
20160902,42
20160903,22
20160904,22
20160905,30
20160906,57
20160907,69
20160908,57
20160909,42
20160910,40
20160911,40
20160912,28
20160913,17
20160914,32
20160915,40
20160916,49
20160917,30
20160918,22
20160919,13
20160920,17
20160921,34
20160922,39
20160923,50
20160924,59
20160925,48
20160926,44
20160927,35
20160928,34
20160929,14
20160930,30
20161001,46
20161002,30
20161003,16
20161004,30
20161005,26
20161006,40
20161007,26
20161008,21
20161009,18
20161010,27
20161011,44
20161012,53
20161013,43
20161014,64
20161015,71
20161016,53
20161017,49
20161018,54
20161019,60
20161020,59
20161021,24
20161022,34
20161023,13
20161024,16
20161025,17
20161026,40
20161027,44
20161028,39
20161029,39
20161030,30
20161031,30
20161101,24
20161102,36
20161103,43
20161104,60
20161105,70
20161106,31
20161107,36
20161108,60
20161109,42
20161110,40
20161111,50
20161112,71
20161113,59
20161114,49
20161115,56
20161116,53
20161117,68
20161118,82
20161119,52
20161120,42
20161121,60
20161122,44
20161123,42
20161124,30
20161125,38
20161126,50
20161127,64
20161128,74
20161129,40
20161130,44
20161201,48
20161202,37
20161203,51
20161204,68
20161205,71
20161206,26
20161207,49
20161208,54
20161209,32
20161210,34
20161211,32
20161212,40
20161213,57
20161214,54
20161215,38
20161216,36
20161217,59
20161218,50
20161219,35
20161220,50
20161221,37
20161222,28
20161223,52
20161224,62
20161225,52
20161226,46
20161227,41
20161228,46
20161229,38
20161230,42
20161231,55
20170101,66
20170102,92
20170103,70
20170104,52
20170105,35
20170106,21
20170107,48
20170108,30
20170109,56
20170110,32
20170111,26
20170112,31
20170113,30
20170114,48
20170115,28
20170116,46
20170117,64
20170118,84
20170119,88
20170120,56
20170121,48
20170122,76
20170123,48
20170124,37
20170125,47
20170126,58
20170127,106
20170128,32
20170129,26
20170130,46
20170131,28
20170201,36
20170202,32
20170203,65
20170204,80
20170205,61
20170206,42
20170207,40
20170208,54
20170209,54
20170210,35
20170211,31
20170212,32
20170213,42
20170214,52
20170215,58
20170216,62
20170217,46
20170218,32
20170219,44
20170220,46
20170221,46
20170222,34
20170223,36
20170224,28
20170225,46
20170226,44
20170227,37
20170228,41
20170301,53
20170302,32
20170303,42
20170304,51
20170305,57
20170306,38
20170307,34
20170308,45
20170309,49
20170310,47
20170311,56
20170312,74
20170313,60
20170314,52
20170315,41
20170316,60
20170317,68
20170318,68
20170319,66
20170320,82
20170321,83
20170322,52
20170323,68
20170324,56
20170325,60
20170326,58
20170327,68
20170328,72
20170329,54
20170330,62
20170331,50
20170401,22
20170402,43
20170403,69
20170404,66
20170405,48
20170406,24
20170407,36
20170408,57
20170409,38
20170410,27
20170411,55
20170412,67
20170413,68
20170414,56
20170415,62
20170416,58
20170417,45
20170418,42
20170419,78
20170420,82
20170421,66
20170422,62
20170423,50
20170424,44
20170425,54
20170426,48
20170427,48
20170428,62
20170429,61
20170430,83
20170501,82
20170502,90
20170503,67
20170504,62
20170505,52
20170506,172
20170507,88
20170508,149
20170509,116
20170510,41
20170511,66
20170512,68
20170513,56
20170514,58
20170515,46
20170516,36
20170517,38
20170518,48
20170519,48
20170520,38
20170521,30
20170522,41
20170523,34
20170524,27
20170525,38
20170526,26
20170527,34
20170528,42
20170529,64
20170530,50
20170531,37
20170601,37
20170602,30
20170603,32
20170604,29
20170605,26
20170606,22
20170607,16
20170608,42
20170609,57
20170610,46
20170611,30
20170612,30
20170613,36
20170614,46
20170615,52
20170616,64
20170617,51
20170618,44
20170619,52
20170620,50
20170621,56
20170622,40
20170623,46
20170624,41
20170625,35
20170626,30
20170627,28
20170628,53
20170629,47
20170630,52
20170701,43
20170702,26
20170703,26
20170704,34
20170705,42
20170706,52
20170707,20
20170708,28
20170709,31
20170710,35
20170711,39
20170712,41
20170713,44
20170714,40
20170715,17
20170716,16
20170717,18
20170718,23
20170719,34
20170720,46
20170721,51
20170722,48
20170723,38
20170724,28
20170725,26
20170726,16
20170727,27
20170728,25
20170729,16
20170730,25
20170731,24
20170801,27
20170802,37
20170803,23
20170804,23
20170805,27
20170806,33
20170807,32
20170808,43
20170809,34
20170810,8
20170811,10
20170812,10
20170813,8
20170814,7
20170815,9
20170816,11
20170817,13
20170818,24
20170819,22
20170820,10
20170821,11
20170822,19
20170823,20
20170824,16
20170825,25
20170826,23
20170827,24
20170828,28
20170829,18
20170830,22
20170831,33
20170901,21
20170902,26
20170903,31
20170904,28
20170905,24
20170906,24
20170907,35
20170908,46
20170909,53
20170910,46
20170911,20
20170912,20
20170913,24
20170914,29
20170915,15
20170916,10
20170917,10
20170918,20
20170919,60
20170920,18
20170921,27
20170922,30
20170923,64
20170924,63
20170925,47
20170926,48
20170927,43
20170928,24
20170929,24
20170930,38
20171001,36
20171002,20
20171003,40
20171004,24
20171005,14
20171006,13
20171007,10
20171008,19
20171009,26
20171010,30
20171011,12
20171012,23
20171013,28
20171014,22
20171015,22
20171016,32
20171017,40
20171018,29
20171019,18
20171020,34
20171021,40
20171022,26
20171023,24
20171024,34
20171025,41
20171026,52
20171027,60
20171028,48
20171029,67
20171030,39
20171031,36
20171101,40
20171102,48
20171103,40
20171104,54
20171105,42
20171106,35
20171107,44
20171108,60
20171109,52
20171110,45
20171111,70
20171112,31
20171113,40
20171114,48
20171115,25
20171116,24
20171117,40
20171118,40
20171119,25
20171120,36
20171121,48
20171122,56
20171123,22
20171124,20
20171125,27
20171126,32
20171127,44
20171128,64
20171129,57
20171130,24
20171201,24
20171202,38
20171203,46
20171204,39
20171205,26
20171206,30
20171207,40
20171208,32
20171209,40
20171210,36
20171211,48
20171212,39
20171213,41
20171214,58
20171215,77
20171216,46
20171217,40
20171218,54
20171219,44
20171220,45
20171221,48
20171222,54
20171223,94
20171224,66
20171225,30
20171226,28
20171227,29
20171228,44
20171229,82
20171230,102
20171231,56
20180101,45
20180102,37
20180103,36
20180104,44
20180105,54
20180106,46
20180107,50
20180108,50
20180109,40
20180110,30
20180111,33
20180112,25
20180113,48
20180114,59
20180115,62
20180116,90
20180117,88
20180118,74
20180119,56
20180120,87
20180121,58
20180122,43
20180123,24
20180124,30
20180125,26
20180126,33
20180127,44
20180128,31
20180129,47
20180130,43
20180131,40
20180201,40
20180202,50
20180203,34
20180204,34
20180205,26
20180206,32
20180207,40
20180208,49
20180209,60
20180210,63
20180211,52
20180212,50
20180213,52
20180214,62
20180215,40
20180216,44
20180217,50
20180218,38
20180219,56
20180220,57
20180221,38
20180222,44
20180223,81
20180224,66
20180225,44
20180226,58
20180227,81
20180228,62
20180301,39
20180302,68
20180303,60
20180304,28
20180305,9
20180306,32
20180307,30
20180308,30
20180309,52
20180310,42
20180311,54
20180312,80
20180313,54
20180314,27
20180315,18
20180316,15
20180317,32
20180318,52
20180319,26
20180320,18
20180321,14
20180322,42
20180323,60
20180324,92
20180325,102
20180326,96
20180327,81
20180328,51
20180329,59
20180330,60
20180331,63
20180401,67
20180402,68
20180403,64
20180404,15
20180405,7
20180406,103
20180407,50
20180408,26
20180409,40
20180410,46
20180411,58
20180412,50
20180413,36
20180414,20
20180415,67
20180416,40
20180417,60
20180418,64
20180419,73
20180420,88
20180421,64
20180422,35
20180423,10
20180424,9
20180425,36
20180426,46
20180427,53
20180428,55
20180429,55
20180430,74
20180501,56
20180502,42
20180503,32
20180504,46
20180505,43
20180506,16
20180507,38
20180508,22
20180509,25
20180510,46
20180511,56
20180512,29
20180513,26
20180514,68
20180515,68
20180516,35
20180517,15
20180518,11
20180519,11
20180520,11
20180521,21
20180522,35
20180523,48
20180524,90
20180525,86
20180526,72
20180527,60
20180528,56
20180529,49
20180530,52
20180531,51
20180601,48
20180602,40
20180603,34
20180604,40
20180605,44
20180606,46
20180607,45
20180608,34
20180609,39
20180610,9
20180611,11
20180612,16
20180613,28
20180614,29
20180615,15
20180616,23
20180617,44
20180618,42
20180619,39
20180620,44
20180621,39
20180622,40
20180623,38
20180624,54
20180625,54
20180626,44
20180627,28
20180628,25
20180629,36
20180630,48
20180701,14
20180702,9
20180703,13
20180704,22
20180705,19
20180706,7
20180707,8
20180708,12
20180709,10
20180710,23
20180711,30
20180712,24
20180713,20
20180714,20
20180715,22
20180716,26
20180717,30
20180718,36
20180719,29
20180720,36
20180721,38
20180722,30
20180723,32
20180724,40
20180725,30
20180726,40
20180727,44
20180728,44
20180729,16
20180730,9
20180731,18
20180801,34
20180802,40
20180803,44
20180804,26
20180805,25
20180806,30
20180807,20
20180808,25
20180809,25
20180810,16
20180811,11
20180812,15
20180813,31
20180814,26
20180815,32
20180816,12
20180817,14
20180818,18
20180819,23
20180820,36
20180821,24
20180822,24
20180823,12
20180824,8
20180825,23
20180826,18
20180827,12
20180828,14
20180829,14
20180830,31
20180831,24
20180901,18
20180902,14
20180903,17
20180904,16
20180905,28
20180906,35
20180907,30
20180908,24
20180909,22
20180910,12
20180911,13
20180912,16
20180913,20
20180914,19
20180915,14
20180916,36
20180917,28
20180918,36
20180919,45
20180920,17
20180921,10
20180922,32
20180923,30
20180924,15
20180925,14
20180926,9
20180927,9
20180928,16
20180929,15
20180930,20
20181001,16
20181002,26
20181003,26
20181004,21
20181005,10
20181006,7
20181007,26
20181008,23
20181009,26
20181010,22
20181011,18
20181012,26
20181013,32
20181014,36
20181015,56
20181016,46
20181017,40
20181018,19
20181019,22
20181020,40
20181021,38
20181022,48
20181023,52
20181024,43
20181025,40
20181026,34
20181027,28
20181028,15
20181029,17
20181030,23
20181031,22
20181101,38
20181102,44
20181103,52
20181104,42
20181105,60
20181106,96
20181107,70
20181108,12
20181109,40
20181110,73
20181111,69
20181112,32
20181113,42
20181114,36
20181115,52
20181116,60
20181117,35
20181118,39
20181119,59
20181120,45
20181121,36
20181122,22
20181123,24
20181124,26
20181125,51
20181126,66
20181127,104
20181128,94
20181129,68
20181130,56
20181201,48
20181202,48
20181203,45
20181204,35
20181205,30
20181206,38
20181207,24
20181208,24
20181209,22
20181210,38
20181211,46
20181212,48
20181213,42
20181214,35
20181215,66
20181216,64
20181217,74
20181218,52
20181219,54
20181220,64
20181221,80
20181222,88
20181223,54
20181224,24
20181225,38
20181226,51
20181227,28
20181228,36
20181229,38
20181230,36
20181231,28
20190101,40
20190102,38
20190103,40
20190104,68
20190105,67
20190106,50
20190107,60
20190108,45
20190109,52
20190110,60
20190111,77
20190112,96
20190113,110
20190114,150
20190115,121
20190116,46
20190117,44
20190118,60
20190119,96
20190120,68
20190121,44
20190122,63
20190123,74
20190124,44
20190125,48
20190126,46
20190127,41
20190128,70
20190129,66
20190130,62
20190131,66
20190201,40
20190202,58
20190203,44
20190204,70
20190205,72
20190206,82
20190207,58
20190208,34
20190209,38
20190210,46
20190211,43
20190212,62
20190213,43
20190214,56
20190215,46
20190216,65
20190217,42
20190218,48
20190219,50
20190220,61
20190221,80
20190222,78
20190223,65
20190224,72
20190225,84
20190226,56
20190227,72
20190228,84
20190301,110
20190302,111
20190303,105
20190304,122
20190305,164
20190306,126
20190307,56
20190308,51
20190309,50
20190310,54
20190311,73
20190312,78
20190313,40
20190314,48
20190315,54
20190316,44
20190317,40
20190318,44
20190319,68
20190320,94
20190321,36
20190322,36
20190323,26
20190324,27
20190325,46
20190326,57
20190327,83
20190328,75
20190329,39
20190330,38
20190331,41
20190401,26
20190402,32
20190403,40
20190404,36
20190405,62
20190406,56
20190407,38
20190408,38
20190409,33
20190410,8
20190411,29
20190412,54
20190413,52
20190414,40
20190415,50
20190416,49
20190417,40
20190418,44
20190419,50
20190420,45
20190421,34
20190422,80
20190423,78
20190424,58
20190425,38
20190426,13
20190427,18
20190428,20
20190429,22
20190430,37
20190501,50
20190502,48
20190503,59
20190504,82
20190505,72
20190506,37
20190507,50
20190508,52
20190509,50
20190510,62
20190511,62
20190512,57
20190513,58
20190514,43
20190515,64
20190516,63
20190517,56
20190518,31
20190519,18
20190520,32
20190521,49
20190522,53
20190523,68
20190524,72
20190525,70
20190526,40
20190527,24
20190528,21
20190529,44
20190530,44
20190531,24
20190601,35
20190602,35
20190603,37
20190604,31
20190605,47
20190606,50
20190607,16
20190608,26
20190609,38
20190610,14
20190611,17
20190612,28
20190613,29
20190614,30
20190615,32
20190616,16
20190617,24
20190618,34
20190619,32
20190620,26
20190621,26
20190622,10
20190623,11
20190624,20
20190625,32
20190626,29
20190627,19
20190628,38
20190629,26
20190630,32
20190701,32
20190702,30
20190703,34
20190704,29
20190705,30
20190706,25
20190707,15
20190708,12
20190709,10
20190710,10
20190711,8
20190712,16
20190713,34
20190714,42
20190715,37
20190716,34
20190717,60
20190718,64
20190719,35
20190720,10
20190721,18
20190722,44
20190723,24
20190724,24
20190725,26
20190726,19
20190727,21
20190728,13
20190729,14
20190730,20
20190731,18
20190801,14
20190802,20
20190803,20
20190804,30
20190805,38
20190806,26
20190807,21
20190808,40
20190809,24
20190810,24
20190811,19
20190812,18
20190813,26
20190814,18
20190815,9
20190816,18
20190817,30
20190818,23
20190819,23
20190820,28
20190821,34
20190822,40
20190823,32
20190824,22
20190825,18
20190826,24
20190827,26
20190828,26
20190829,25
20190830,16
20190831,18
20190901,18
20190902,25
20190903,24
20190904,9
20190905,7
20190906,16
20190907,12
20190908,36
20190909,38
20190910,16
20190911,12
20190912,19
20190913,16
20190914,20
20190915,15
20190916,11
20190917,16
20190918,25
20190919,20
20190920,20
20190921,16
20190922,7
20190923,16
20190924,24
20190925,34
20190926,30
20190927,22
20190928,30
20190929,40
20190930,54
20191001,46
20191002,24
20191003,10
20191004,30
20191005,39
20191006,12
20191007,12
20191008,25
20191009,26
20191010,30
20191011,34
20191012,25
20191013,20
20191014,34
20191015,26
20191016,30
20191017,29
20191018,18
20191019,21
20191020,38
20191021,42
20191022,38
20191023,22
20191024,26
20191025,22
20191026,23
20191027,25
20191028,32
20191029,64
20191030,26
20191031,60
20191101,82
20191102,66
20191103,49
20191104,14
20191105,34
20191106,50
20191107,48
20191108,45
20191109,42
20191110,40
20191111,25
20191112,38
20191113,35
20191114,20
20191115,25
20191116,38
20191117,29
20191118,62
20191119,30
20191120,24
20191121,40
20191122,46
20191123,33
20191124,33
20191125,29
20191126,28
20191127,42
20191128,42
20191129,47
20191130,47
20191201,46
20191202,24
20191203,32
20191204,32
20191205,26
20191206,34
20191207,54
20191208,60
20191209,70
20191210,102
20191211,74
20191212,22
20191213,28
20191214,44
20191215,40
20191216,40
20191217,34
20191218,42
20191219,30
20191220,32
20191221,41
20191222,64
20191223,58
20191224,74
20191225,56
20191226,51
20191227,38
20191228,48
20191229,48
20191230,43
20191231,31
20200101,38
20200102,64
20200103,71
20200104,60
20200105,59
20200106,44
20200107,10
20200108,30
20200109,53
20200110,67
20200111,58
20200112,50
20200113,28
20200114,34
20200115,41
20200116,44
20200117,62
20200118,64
20200119,66
20200120,55
20200121,48
20200122,50
20200123,66
20200124,74
20200125,55
20200126,29
20200127,10
20200128,12
20200129,16
20200130,18
20200131,32
20200201,74
20200202,78
20200203,30
20200204,30
20200205,28
20200206,45
20200207,42
20200208,47
20200209,41
20200210,53
20200211,64
20200212,57
20200213,78
20200214,87
20200215,70
20200216,42
20200217,30
20200218,28
20200219,40
20200220,68
20200221,69
20200222,70
20200223,26
20200224,41
20200225,25
20200226,20
20200227,16
20200228,30
20200229,26
20200301,53
20200302,42
20200303,48
20200304,49
20200305,41
20200306,46
20200307,68
20200308,66
20200309,66
20200310,48
20200311,34
20200312,36
20200313,34
20200314,44
20200315,44
20200316,26
20200317,48
20200318,62
20200319,58
20200320,38
20200321,49
20200322,40
20200323,51
20200324,61
20200325,54
20200326,56
20200327,46
20200328,34
20200329,44
20200330,59
20200331,52
20200401,73
20200402,42
20200403,60
20200404,64
20200405,48
20200406,56
20200407,58
20200408,44
20200409,50
20200410,44
20200411,42
20200412,34
20200413,22
20200414,54
20200415,68
20200416,58
20200417,44
20200418,31
20200419,27
20200420,18
20200421,33
20200422,68
20200423,44
20200424,40
20200425,54
20200426,34
20200427,37
20200428,42
20200429,52
20200430,39
20200501,52
20200502,48
20200503,29
20200504,38
20200505,37
20200506,36
20200507,32
20200508,32
20200509,15
20200510,34
20200511,98
20200512,43
20200513,34
20200514,42
20200515,32
20200516,27
20200517,41
20200518,39
